id,tabela,padrao
fiat_mobi,2026,FIAT MOBI TREKKING 1.0-6V
fiat_argo,2026,FIAT ARGO 1.0 1.0-6V
fiat_strada,2025,FIAT STRADA FREEDOM CD13
vw_polo,2026,VW POLO MPI 1.0-12V
vw_nivus,2026,VW NIVUS COMFORTLINE 200TSI
gm_onix,2026,CHEVROLET ONIX LT 1.0T
gm_tracker,2026,CHEVROLET TRACKER LT 1.0T
hyundai_hb20,2026,Hyundai HB20 Sense 1.0-12V
hyundai_creta,2026,Hyundai CRETA Comfort 1.0-12V T
renault_kwid,2026,Renault KWID  ZEN 2 1.0-12V
renault_duster,2026,DUSTER ICO16 CVT 1.6-16V
nissan_kicks,2026,NISSAN Kicks SENSE AT 1.0 12V
toyota_corolla,2026,COROLLA GLI 20 2.0-16V
toyota_corolla_cross,2026,COROLLA CROSS XR 20 2.0-16V
toyota_hilux,2026,HILUX DIESEL 4X4 AT SRV AT 2.8-16V
honda_city,2026,HONDA CITY EX 1.5-16V
honda_hrv,2026,HONDA HR-V EX 1.5-16V
jeep_renegade,2026,JEEP RENEGADE LGTD T270 1.3T-16V
jeep_compass,2026,JEEP COMPASS SERIE S T 1.3T-16V
byd_dolphin,2026,BYD DOLPHIN  GS 180EV
byd_seal,2026,BYD SEAL AWD GS 590EV
bmw_320i,2026,BMW 320i Active Flex 2.0 - 16V
bmw_x1,2026,BMW X1 S20i GP 2.0 - 16V
mercedes_c200,2025,Mercedes-Benz C 200 AMG LINE 1.5-16V
porsche_718,2026,PORSCHE BOXSTER GTS4.0 4.0-24V
porsche_911,2026,PORSCHE 911 CARRERA 3.0-24V
ferrari_296,2026,FERRARI 296 GTB 3.0-24V
