id,tabela_pbev,versao_pbev,etanol_cidade,etanol_estrada,principal_cidade,principal_estrada,eletrico_cidade_kmle,eletrico_estrada_kmle,razao_eficiencia,autonomia_eletrica_km,classe_relativa,classe_absoluta,linha_original
bmw_320i,2026,Extra Grande BMW 320i Active Flex 2.0 - 16V,7.1,8.6,10.0,12.3,,,1.98,,C,C,Extra Grande BMW 320i Active Flex 2.0 - 16V Combustão A-8 S E F 28 194 4 B 0 123 \ 7.1 8.6 10.0 12.3 \ \ 1.98 \ C C -
bmw_x1,2026,Utilitário Esportivo Grande BMW X1 S20i GP 2.0 - 16V,,,10.3,13.5,,,1.9,,B,C,Utilitário Esportivo Grande BMW X1 S20i GP 2.0 - 16V Combustão A-7 S E G 9 237 1 A \ 117 \ \ \ 10.3 13.5 \ \ 1.90 \ B C -
byd_dolphin,2026,Médio BYD DOLPHIN GS 180EV,,,,,51.9,43.5,0.42,291,A,A,Médio BYD DOLPHIN GS 180EV Elétrico Elétrico N.A. S E E 0 0 0 A \ 0 \ \ \ \ \ 51.9 43.5 0.42 291 A A -
byd_seal,2026,Extra Grande BYD SEAL AWD GS 590EV,,,,,34.9,30.5,0.62,372,A,A,Extra Grande BYD SEAL AWD GS 590EV Elétrico Elétrico N.A. S E E 0 0 0 A \ 0 \ \ \ \ \ 34.9 30.5 0.62 372 A A -
ferrari_296,2026,Esportivo FERRARI 296 GTB 3.0-24V,,,6.3,8.4,8.9,11.9,2.02,10,D,C,Esportivo FERRARI 296 GTB 3.0-24V Plug-in DCT-8 S E G 18 444 0 A \ 149 0 \ \ 6.3 8.4 8.9 11.9 2.02 10 D C -
fiat_argo,2026,Compacto FIAT ARGO 1.0 1.0-6V,9.4,10.4,13.6,14.5,,,1.52,,C,B,Compacto FIAT ARGO 1.0 1.0-6V Combustão M-5 S E F 32 390 3 B 0 94 \ 9.4 10.4 13.6 14.5 \ \ 1.52 \ C B -
fiat_mobi,2026,Sub Compacto FIAT MOBI TREKKING 1.0-6V,9.8,10.6,14.0,15.1,,,1.46,,E,B,Sub Compacto FIAT MOBI TREKKING 1.0-6V Combustão M-5 S E F 38 280 3 B 0 91 \ 9.8 10.6 14.0 15.1 \ \ 1.46 \ E B -
fiat_strada,2025,Picape Compacta FIAT STRADA FREEDOM CD13 1.3-8V,8.9,10.1,12.8,14.4,,,1.59,,A,C,Picape Compacta FIAT STRADA FREEDOM CD13 1.3-8V Combustão M-5 S E F 39 417 5 C 0 98 \ 8.9 10.1 12.8 14.4 \ \ 1.59 \ A C -
gm_onix,2026,Médio CHEVROLET ONIX LT 1.0T - 12V,8.6,10.9,12.1,15.3,,,1.59,,C,C,Médio CHEVROLET ONIX LT 1.0T - 12V Combustão A-6 S E F 44 162 5 B 0 99 \ 8.6 10.9 12.1 15.3 \ \ 1.59 \ C C -
gm_tracker,2026,Utilitário Esportivo Compacto CHEVROLET TRACKER LT 1.0T - 12V,8.1,9.9,11.5,13.8,,,1.72,,B,C,Utilitário Esportivo Compacto CHEVROLET TRACKER LT 1.0T - 12V Combustão A-6 S E F 19 168 3 A 0 108 \ 8.1 9.9 11.5 13.8 \ \ 1.72 \ B C -
