uf,produto,preco_mediano,preco_medio,preco_minimo,preco_maximo,amostras,periodo_inicio,periodo_fim,coletado_em
BR,diesel,6.69,6.699,5.49,8.99,7867,2026-07-01,2026-07-31,2026-08-10
BR,diesel_s10,6.98,7.003,5.84,9.99,13315,2026-07-01,2026-07-31,2026-08-10
BR,etanol,4.28,4.342,2.8,6.6,16100,2026-07-01,2026-07-31,2026-08-10
BR,gasolina,6.59,6.618,5.39,9.79,18876,2026-07-01,2026-07-31,2026-08-10
AC,diesel,7.79,7.868,7.58,8.77,31,2026-07-01,2026-07-31,2026-08-10
AC,diesel_s10,7.99,8.061,7.89,9.27,25,2026-07-01,2026-07-31,2026-08-10
AC,etanol,4.99,5.157,4.65,6.6,31,2026-07-01,2026-07-31,2026-08-10
AC,gasolina,7.29,7.378,7.08,8.46,37,2026-07-01,2026-07-31,2026-08-10
AL,diesel,7.29,7.565,6.77,8.99,28,2026-07-01,2026-07-31,2026-08-10
AL,diesel_s10,7.17,7.268,6.59,8.26,122,2026-07-01,2026-07-31,2026-08-10
AL,etanol,4.99,5.15,4.39,5.99,216,2026-07-01,2026-07-31,2026-08-10
AL,gasolina,6.77,6.904,6.44,7.67,242,2026-07-01,2026-07-31,2026-08-10
AM,diesel,7.29,7.183,6.99,7.59,56,2026-07-01,2026-07-31,2026-08-10
AM,diesel_s10,7.29,7.457,6.99,8.99,160,2026-07-01,2026-07-31,2026-08-10
AM,etanol,4.99,5.121,4.79,5.59,139,2026-07-01,2026-07-31,2026-08-10
AM,gasolina,7.29,7.382,6.75,8.99,216,2026-07-01,2026-07-31,2026-08-10
AP,diesel_s10,6.85,6.941,6.64,7.69,23,2026-07-01,2026-07-31,2026-08-10
AP,etanol,5.81,5.826,5.81,5.89,5,2026-07-01,2026-07-31,2026-08-10
AP,gasolina,6.45,6.502,6.39,6.75,75,2026-07-01,2026-07-31,2026-08-10
BA,diesel,7.2,7.27,5.99,8.89,593,2026-07-01,2026-07-31,2026-08-10
BA,diesel_s10,7.4,7.481,6.63,8.99,751,2026-07-01,2026-07-31,2026-08-10
BA,etanol,4.85,4.872,4.04,6.39,893,2026-07-01,2026-07-31,2026-08-10
BA,gasolina,6.99,7.057,6.38,7.84,1004,2026-07-01,2026-07-31,2026-08-10
CE,diesel,7.09,7.124,6.15,7.99,94,2026-07-01,2026-07-31,2026-08-10
CE,diesel_s10,7.14,7.167,6.15,8.4,526,2026-07-01,2026-07-31,2026-08-10
CE,etanol,5.19,5.222,4.62,6.19,506,2026-07-01,2026-07-31,2026-08-10
CE,gasolina,6.97,6.951,6.43,7.9,574,2026-07-01,2026-07-31,2026-08-10
DF,diesel,6.97,6.954,6.54,7.32,50,2026-07-01,2026-07-31,2026-08-10
DF,diesel_s10,6.98,6.94,6.59,7.19,52,2026-07-01,2026-07-31,2026-08-10
